车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
马自达CX-5 2013款 2.5L 自动四驱豪华型,严选车,11.76,原价12.2万,2015-01,6.82万公里,国四,2.5,0次过户,2021-1,2019-12,已过期,2.5L 196马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/8d05595202adb690x.htm
Jeep 自由客 2014款 2.4L 运动版(进口),严选车,¥9.93,新车指导价26.70万(含税),2014-11,8.09万公里,国四,2.4,0次过户,2020-11,2019-11,已过期,2.4L 170马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/f78739042f6f22acx.htm
比亚迪S6 2014款 1.5TI 手动尊贵型 5座,严选车,4.02,原价4.26万,2015-02,7.95万公里,国四,1.5,0次过户,2021-2,2020-2,已过期,1.5T 154马力 L4,6档手动变速箱(MT),https://www.guazi.com/sjz/67957533b5407eecx.htm
大众 夏朗 2015款 1.8TSI 舒适型(进口),严选车,¥16.35,新车指导价31.60万(含税),2015-12,1.77万公里,国五,1.8,0次过户,2019-12,2019-12,2019-12,1.8T 160马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/edbb6e914fd57992x.htm
标致3008 2015款 1.6THP 自动至尚版,严选车,¥9.28,新车指导价24.00万(含税),2015-10,6.37万公里,国五,1.6,0次过户,2019-10,2019-10,已过期,1.6T 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/4a26ce8fb40bd62cx.htm
凯迪拉克ATS-L 2017款 28T 技术型,严选车,¥16.05,新车指导价29.70万(含税),2017-09,3.11万公里,国五,2.0,0次过户,2019-9,2019-9,已过期,2.0T 279马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/tj/f27eaa978fc0c023x.htm
英菲尼迪Q50L 2016款 2.0T 舒适版,严选车,¥18.69,新车指导价30.40万(含税),2017-09,4.71万公里,国五,2.0,0次过户,2019-9,2019-9,已过期,2.0T 211马力 L4,7档手自一体变速箱(AT),https://www.guazi.com/bj/235323e7d1f53871x.htm
吉利 经典帝豪 2012款 两厢 1.5L 手动超悦惠民型,严选车,¥2.52,新车指导价7.50万(含税),2013-03,3.13万公里,国四,1.5,0次过户,2020-3,2020-4,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/tj/7e7dacf76011e1d0x.htm
别克 凯越 2013款 1.5L 自动经典型,严选车,3.85,原价4.06万,2013-04,6.15万公里,国四,1.5,0次过户,2020-4,2020-5,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/7d02832e665bc894x.htm
奥迪Q5 2012款 2.0TFSI 舒适型,严选车,¥16.98,新车指导价52.30万(含税),2012-03,9.04万公里,国四,2.0,0次过户,2020-3,2020-3,已过期,2.0T 211马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/bj/6b0331ceae4d9b95x.htm
本田XR-V 2015款 1.8L EXi  CVT舒适版,严选车,9.90,原价10.59万,2015-04,8.8万公里,国四,1.8,0次过户,2021-4,2020-4,已过期,1.8L 136马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/tj/ff218d2ece8419dcx.htm
标致408 2018款 350THP 自动豪华版,严选车,9.04,原价9.41万,2018-01,3.93万公里,国五,1.6,0次过户,2020-1,2020-1,已过期,1.6T 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/fa7571448c6e703dx.htm
现代 全新胜达 2017款 2.0T 自动四驱智能型 7座,严选车,¥15.14,新车指导价27.10万(含税),2017-03,5.65万公里,国五,2.0,1次过户,2021-3,2020-2,已过期,2.0T 245马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/0f7aa490f307e9c9x.htm
马自达6 2011款 2.0L 自动时尚型,严选车,¥5.17,新车指导价19.50万(含税),2012-02,9.3万公里,国四,2.0,2次过户,2020-2,2020-2,已过期,2.0L 146马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/bj/240fec0831f77033x.htm
沃尔沃XC60 2016款 T5  智远版,严选车,¥19.64,新车指导价45.30万(含税),2015-08,8.86万公里,国五,2.0,0次过户,2019-8,2019-8,已过期,2.0T 245马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/bj/07f0436629a93fdax.htm
铃木 奥拓 2013款 改款 1.0L 手动舒适型,严选车,2.73,原价2.85万,2015-01,1.36万公里,国四,1.0,0次过户,2021-1,2020-1,已过期,1.0L 71马力 L3,5档手动变速箱(MT),https://www.guazi.com/sjz/ee937aed265adaa1x.htm
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,严选车,¥5.52,新车指导价14.00万(含税),2014-03,8.7万公里,国四,1.5,0次过户,2020-3,2020-2,已过期,1.5T 150马力 L4,6档手动变速箱(MT),https://www.guazi.com/bj/35569c47c0bfb42ex.htm
马自达 阿特兹 2017款 2.0L 蓝天豪华版,严选车,¥14.70,新车指导价20.60万(含税),2017-03,1.74万公里,国五,2.0,0次过户,2021-3,2020-3,已过期,2.0L 158马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/tj/317fc265231c5a63x.htm
传祺GA6 2015款 1.8T 自动舒适型,严选车,6.19,原价6.43万,2015-10,2.33万公里,国五,1.8,0次过户,2019-10,2020-2,已过期,1.8T 177马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sjz/ea249bd40cf693f2x.htm
雪铁龙C3-XR 2017款 1.6L 自动先锋型,严选车,7.47,原价7.7万,2017-07,3.58万公里,国五,1.6,0次过户,2019-7,2019-7,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/sjz/85796d71395cd906x.htm
凯迪拉克SRX 2014款 3.0L 领先型(进口),严选车,18.38,原价19.49万,2014-07,6.16万公里,国四,3.0,0次过户,2020-7,2019-7,已过期,3.0L 271马力 V6,6档手自一体变速箱(AT),https://www.guazi.com/tj/542b6a18846395e0x.htm
长安 逸动 2015款 XT 1.6L 手动俊酷型 国V,严选车,4.40,原价4.6万,2016-01,2.05万公里,国五,1.6,0次过户,2020-1,2019-12,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/8e95efa34f21d2c4x.htm
大众 途昂 2017款 380TSI 四驱豪华版,严选车,29.00,原价29.34万,2017-08,2.5万公里,国五,2.0,0次过户,2019-8,2019-9,已过期,2.0T 220马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/tj/7d4fd0ffe1595367x.htm
起亚KX5 2016款 1.6T 自动两驱DLX,严选车,9.98,原价10.22万,2016-09,6.47万公里,国五,1.6,0次过户,2020-9,2019-9,已过期,1.6T 177马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sjz/6f318e7efc4bab70x.htm
宝骏510 2017款 1.5L 自动豪华型,严选车,¥5.60,新车指导价8.20万(含税),2018-01,3.74万公里,国五,1.5,0次过户,2020-1,2020-1,已过期,1.5L 112马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/tj/33b907c430461b6bx.htm
MINI Clubman 2011款 1.6L ONE,严选车,¥11.44,新车指导价26.60万(含税),2014-07,2.59万公里,国四,1.6,0次过户,2020-7,2019-7,已过期,1.6L 98马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/5f8d68ee2d5c543cx.htm
沃尔沃S60 2013款 T5 智雅版(进口),严选车,10.86,原价11.14万,2013-04,11.49万公里,国四,2.0,0次过户,2020-4,2020-3,已过期,2.0T 214马力 L5,6档手自一体变速箱(AT),https://www.guazi.com/bj/0f9b02d8d23c0802x.htm
奔驰C级 2013款 C 260 时尚型 Grand Edition,严选车,¥17.30,新车指导价42.70万(含税),2014-04,6.51万公里,国四,1.8,0次过户,2020-4,2020-5,已过期,1.8T 204马力 L4,7档手自一体变速箱(AT),https://www.guazi.com/bj/aeac84a6e8038169x.htm
马自达6 2013款 2.0L 自动时尚型,严选车,6.04,原价6.3万,2013-08,10.55万公里,国四,2.0,0次过户,2019-8,2019-8,已过期,2.0L 147马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/bj/5e402f9156386c6ex.htm
大众 帕萨特 2011款 1.8TSI DSG御尊版,严选车,10.75,原价11.4万,2012-03,3.45万公里,国四,1.8,0次过户,2020-3,2020-3,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/f7e3e327d7f02bf5x.htm
长城M2 2014款 1.5L 手动精英版,严选车,¥3.82,新车指导价8.10万(含税),2014-12,1.06万公里,国四,1.5,1次过户,2020-12,2019-12,已过期,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/2596c915e2acd2d8x.htm
别克 凯越 2013款 1.5L 自动经典型,严选车,¥4.57,新车指导价11.10万(含税),2015-02,2.82万公里,国五,1.5,0次过户,2021-2,2020-2,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/89344253cf5ab0f1x.htm
长安CS75 2017款 尚酷版 1.8T 自动四驱精英型,严选车,¥9.10,新车指导价12.40万(含税),2018-05,1.79万公里,国五,1.8,0次过户,2020-5,2020-4,已过期,1.8T 177马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/7b9860e6e2e49756x.htm
吉利 博越 2016款 1.8TD 自动四驱智尊型,严选车,¥8.32,新车指导价17.10万(含税),2016-12,6.36万公里,国五,1.8,0次过户,2020-12,2019-11,已过期,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/langfang/0ea31b1183c656a2x.htm
上汽大通 大通G10 2016款 2.0T 手动精英版,严选车,¥8.83,新车指导价16.30万(含税),2016-05,4.76万公里,国五,2.0,0次过户,2020-5,2020-5,已过期,2.0T 224马力 L4,6档手动变速箱(MT),https://www.guazi.com/bj/5009bd89534c5cbbx.htm
铃木 奥拓 2013款 1.0L 自动豪华型,严选车,2.59,原价2.73万,2013-05,8.86万公里,国四,1.0,0次过户,2020-5,2020-5,已过期,1.0L 71马力 L3,4档自动变速箱(AT),https://www.guazi.com/bj/3aa011e3ab0c8d5fx.htm
福特 蒙迪欧-致胜 2011款 2.0L GTDi200豪华型,严选车,6.90,原价7.35万,2012-02,7.44万公里,国四,2.0,0次过户,2020-2,2020-2,已过期,2.0T 203马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/e8b72c20e230265ex.htm
哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱都市型,严选车,¥8.00,新车指导价12.90万(含税),2017-03,4.22万公里,国五,1.5,0次过户,2021-3,2020-3,已过期,1.5T 150马力 L4,6档自动变速箱(AT),https://www.guazi.com/tj/186b0c6e1523e3b2x.htm
日产 天籁 2012款 2.5L XV云安全版,严选车,8.88,原价9.4万,2011-07,9.18万公里,国四,2.5,0次过户,2019-7,2020-4,已过期,2.5L 185马力 V6,6档无级变速箱(CVT),https://www.guazi.com/tj/a1c49654f80ea418x.htm
宝马7系 2013款 730Li 领先型(进口),严选车,¥34.30,新车指导价101.30万(含税),2013-12,7.51万公里,国四,3.0,1次过户,2019-12,2019-12,已过期,3.0L 258马力 L6,8档手自一体变速箱(AT),https://www.guazi.com/tj/818bdbdbb64ce014x.htm
福特 蒙迪欧-致胜 2011款 2.0L GTDi200时尚型,严选车,5.39,原价5.72万,2011-06,10.01万公里,国四,2.0,0次过户,2019-6,2019-6,已过期,2.0T 203马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/95e58bfdd598e397x.htm
北汽绅宝 绅宝X55 2016款 1.5T 手动舒适版,严选车,¥4.27,新车指导价10.30万(含税),2016-01,5.08万公里,国五,1.5,0次过户,2020-1,2020-1,已过期,1.5T 150马力 L4,6档手动变速箱(MT),https://www.guazi.com/bj/ba5b57ea5533243dx.htm
福特 翼虎 2013款 2.0L GTDi 四驱运动型,严选车,11.53,原价12.23万,2014-07,4.55万公里,国四,2.0,0次过户,2020-7,2019-6,已过期,2.0T 242马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/ed735acde21fc2c0x.htm
雪铁龙 世嘉 2012款 三厢 1.6L 自动品享型,严选车,3.65,原价3.86万,2012-09,10.02万公里,国四,1.6,0次过户,2019-9,2019-9,已过期,1.6L 106马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/tj/6a2a657342ea314fx.htm
东风风行 景逸X5 2013款 1.6L 手动尊享型 国IV,严选车,3.39,原价3.55万,2014-05,3.97万公里,国四,1.6,0次过户,2020-5,2020-5,已过期,1.6L 122马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/735cbf3d42cabbd6x.htm
大众 宝来 2012款 1.6L 自动时尚型,,¥5.40,新车指导价13.00万(含税),2013-04,7.16万公里,国四,1.6,1次过户,2020-4,2020-5,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sy/d02864e39974c005x.htm
荣威W5 2014款 1.8T 2WD 自动胜域特装版,严选车,5.74,原价5.95万,2014-10,3.83万公里,国四,1.8,1次过户,2020-10,2019-10,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/4a36c6b9fb38ea90x.htm
现代 领动 2016款 1.6L 自动智炫·豪华型,严选车,7.99,原价8.07万,2017-03,3.65万公里,国五,1.6,0次过户,2021-3,2020-4,已过期,1.6L 130马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/c01a83803942997ax.htm
奔驰E级 2015款 E 260 L 运动型,严选车,26.80,原价27.31万,2014-10,6.68万公里,国五,2.0,0次过户,2020-10,2019-12,已过期,2.0T 211马力 L4,7档手自一体变速箱(AT),https://www.guazi.com/tj/a224476161a380cbx.htm
奥迪A4L 2015款 45 TFSI quattro个性运动型,严选车,18.00,原价19.13万,2015-05,5.44万公里,国五,2.0,0次过户,2021-5,2020-4,已过期,2.0T 224马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/0c246561d5a040d7x.htm
宝马3系 2016款 320Li 进取型,严选车,¥20.99,新车指导价35.40万(含税),2016-05,4.55万公里,国五,2.0,0次过户,2020-5,2020-5,已过期,2.0T 184马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/bj/8379cc4eeeceb211x.htm
别克 君越 2013款 2.4L SIDI精英舒适型,严选车,11.27,原价11.74万,2014-09,8.74万公里,国五,2.4,0次过户,2020-9,2019-9,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/6dd51de7fbe981d3x.htm
奔驰GLA级 2017款 GLA 200 动感型,严选车,¥21.36,新车指导价29.50万(含税),2018-04,1.06万公里,国五,1.6,0次过户,2020-4,2020-4,2020-4,1.6T 156马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/2c9752249a6e1d71x.htm
别克 英朗 2017款 15N 自动精英型,严选车,¥7.16,新车指导价13.80万(含税),2017-09,1.24万公里,国五,1.5,0次过户,2019-9,2019-10,已过期,1.5L 114马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/baoding/2c7749d28f12dd77x.htm
本田 歌诗图 2012款 2.4L 豪华版,严选车,11.41,原价11.87万,2013-04,7.54万公里,国四,2.4,0次过户,2020-4,2020-4,已过期,2.4L 197马力 L4,5档自动变速箱(AT),https://www.guazi.com/tj/cd5cb95e9d3f44a9x.htm
现代ix35 2015款 2.4L 自动两驱领先型 国IV,严选车,8.43,原价8.63万,2016-01,10.66万公里,国四,2.4,0次过户,2020-1,2020-1,已过期,2.4L 174马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/17d6cb936b67e8a4x.htm
本田 歌诗图 2014款 2.4L 豪华导航版,严选车,13.75,原价14.73万,2014-06,4.25万公里,国四,2.4,1次过户,2020-6,2019-6,已过期,2.4L 197马力 L4,5档自动变速箱(AT),https://www.guazi.com/sjz/adb69ddf7aa875b6x.htm
大众 高尔夫·嘉旅 2016款 230TSI 自动进取型,严选车,¥11.19,新车指导价18.10万(含税),2017-06,2.15万公里,国五,1.4,0次过户,2019-6,2019-6,2001-1,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/8b224c73cc684cd5x.htm
奥迪A3 2010款 Sportback 1.4T 豪华型(进口),严选车,8.04,原价8.52万,2012-01,8.55万公里,国四,1.4,0次过户,2020-1,2020-1,已过期,1.4T 125马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/3bdaee310188ae8cx.htm
宝马3系 2013款 改款 320Li 风尚设计套装,严选车,¥14.54,新车指导价43.60万(含税),2013-06,16.93万公里,国四,2.0,0次过户,2020-6,2019-6,2019-6,2.0T 184马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/bj/bc29c3c306b07aa0x.htm
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,严选车,10.66,原价11.38万,2015-07,3.73万公里,国五,2.4,0次过户,2019-7,2019-7,已过期,2.4L 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/ccf08c1aca237f5ex.htm
长城M4 2012款 1.5L 手动豪华型,严选车,2.65,原价2.7万,2012-12,6.05万公里,国四,1.5,0次过户,2019-12,2019-12,已过期,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/8d4ea9d2e282fd92x.htm
荣威RX5 2016款 30T 四驱自动互联网智尊版,严选车,10.51,原价10.98万,2017-01,2.14万公里,国五,2.0,1次过户,2021-1,2019-12,已过期,2.0T 220马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/sjz/7537cfb38e368da5x.htm
东风风行 景逸X5 2013款 1.6L 手动尊享型 国V,严选车,3.12,原价3.33万,2014-01,6.12万公里,国四,1.6,0次过户,2020-1,2020-1,已过期,1.6L 122马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/1de6ab6300599787x.htm
长城M4 2014款 1.5L 手动豪华型,严选车,3.17,原价3.34万,2014-07,7.07万公里,国四,1.5,0次过户,2020-7,2020-1,已过期,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/fd5c7df94aa30199x.htm
现代 名图 2016款 1.6T 自动智能型GLS,严选车,¥10.05,新车指导价17.30万(含税),2016-12,3.86万公里,国五,1.6,0次过户,2020-12,2019-11,已过期,1.6T 175马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/ecb6f92e89a9770ex.htm
比亚迪 速锐 2012款 1.5L 手动豪华型,严选车,2.52,原价2.6万,2012-12,9.81万公里,国四,1.5,0次过户,2019-12,2019-11,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/648898640cceb028x.htm
雪佛兰 科帕奇 2012款 2.4L 四驱豪华版 5座,严选车,7.92,原价8.27万,2013-01,6.87万公里,国四,2.4,1次过户,2020-1,2020-2,已过期,2.4L 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/35c2f80f271343efx.htm
本田 思域 2016款 220TURBO CVT豪华版,严选车,¥12.83,新车指导价15.20万(含税),2018-11,0.73万公里,国五,1.5,0次过户,2020-11,2019-11,已过期,1.5T 177马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/bj/d4393e7c6435dbc3x.htm
上汽大通 大通G10 2016款 2.0T 自动豪华行政版,严选车,¥13.59,新车指导价24.90万(含税),2016-06,5.63万公里,国五,2.0,0次过户,2020-6,2019-6,已过期,2.0T 224马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/2b7d0230da463195x.htm
本田CR-V 2012款 2.0L 两驱都市版,严选车,11.02,原价11.59万,2014-09,9.98万公里,国四,2.0,0次过户,2020-9,2019-9,已过期,2.0L 155马力 L4,5档自动变速箱(AT),https://www.guazi.com/bj/73977b51f43281cdx.htm
奔腾B70 2016款 2.0L 自动十周年纪念版,严选车,5.67,原价6.12万,2016-11,9.64万公里,国五,2.0,1次过户,2020-11,2019-11,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/a54f396a23730a29x.htm
别克 凯越 2013款 1.5L 手动经典型,严选车,¥3.70,新车指导价10.50万(含税),2013-10,4.53万公里,国四,1.5,0次过户,2019-10,2019-10,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/c1c069e0a10fe544x.htm
福特 撼路者 2017款 2.0T 汽油自动四驱菁英版 5座,严选车,19.63,原价19.9万,2017-11,5.24万公里,国五,2.0,0次过户,2019-11,2019-10,2019-11,2.0T 245马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/ec81e049febf9543x.htm
日产 奇骏 2012款 2.5L CVT豪华版 4WD,严选车,9.13,原价9.56万,2012-09,9.53万公里,国四,2.5,0次过户,2019-9,2019-9,已过期,2.5L 184马力 L4,6档无级变速箱(CVT),https://www.guazi.com/bj/0566ec2a7b7fc730x.htm
哈弗H7 2017款 红标H7 2.0T 自动尊贵型,严选车,10.25,原价10.69万,2017-03,3.95万公里,国五,2.0,1次过户,2021-3,2020-4,已过期,2.0T 231马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/tj/8450fe7ed758cff3x.htm
江淮 瑞风S5 2013款 2.0T 手动尊享版,严选车,3.56,原价3.77万,2013-07,4.8万公里,国四,2.0,0次过户,2019-7,2019-6,已过期,2.0T 177马力 L4,6档手动变速箱(MT),https://www.guazi.com/bj/5017bbd53d33407ex.htm
起亚 智跑 2015款 2.0L 自动两驱版DLX,严选车,9.08,原价9.64万,2015-10,3.26万公里,国四,2.0,0次过户,2019-10,2019-10,已过期,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/bd860e0761d369ebx.htm
奥迪A6L 2012款 TFSI 标准型,严选车,20.12,原价21.3万,2013-09,5.74万公里,国四,2.0,0次过户,2019-9,2020-5,已过期,2.0T 180马力 L4,8档无级变速箱(CVT),https://www.guazi.com/bj/343f2d0edb1a48abx.htm
标致408 2015款 1.2T 自动豪华版,严选车,7.69,原价8.14万,2016-02,3.73万公里,国五,1.2,0次过户,2020-2,2020-1,已过期,1.2T 136马力 L3,6档手自一体变速箱(AT),https://www.guazi.com/bj/8898be9d2bd00941x.htm
别克 昂科拉 2014款 1.4T 自动两驱都市精英型,严选车,7.54,原价7.69万,2014-04,1.35万公里,国四,1.4,0次过户,2020-4,2020-4,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/2f8a5e7b11a51034x.htm
丰田 凯美瑞 2012款 2.5G 豪华版,严选车,11.08,原价11.8万,2013-08,12.01万公里,国四,2.5,0次过户,2019-8,2019-8,已过期,2.5L 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/e6e8f142f6b6edccx.htm
日产 天籁 2011款 公爵 2.5L XV尊雅版,严选车,7.98,原价8.25万,2012-02,11.91万公里,国四,2.5,1次过户,2020-2,2020-1,2020-1,2.5L 185马力 V6,6档无级变速箱(CVT),https://www.guazi.com/bj/a1a6736338667c26x.htm
大众 高尔夫 2014款 1.4TSI 自动豪华型,严选车,¥9.35,新车指导价18.00万(含税),2014-03,3.95万公里,国四,1.4,0次过户,2020-3,2020-3,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/df97c8c22568b171x.htm
大众 桑塔纳 2016款 1.6L 自动舒适版,严选车,7.00,原价7.26万,2017-06,2.79万公里,国五,1.6,0次过户,2021-6,2020-5,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/sjz/ad2929b9377eb8f4x.htm
大众POLO 2013款 1.4L 自动舒适版,严选车,¥5.84,新车指导价11.60万(含税),2014-04,1.12万公里,国四,1.4,0次过户,2020-4,2020-6,已过期,1.4L 86马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/887131c73ff06428x.htm
日产 天籁 2011款 2.5L XL领先版,严选车,¥7.85,新车指导价24.40万(含税),2011-09,7.16万公里,国四,2.5,0次过户,2019-9,2019-9,已过期,2.5L 185马力 V6,6档无级变速箱(CVT),https://www.guazi.com/bj/b20ade3db091a21cx.htm
大众 甲壳虫 2013款 1.2TSI 时尚型(进口),严选车,¥10.47,新车指导价21.60万(含税),2013-12,4.11万公里,国四,1.2,0次过户,2019-12,2020-5,已过期,1.2T 105马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/tj/f1c6d513aa9e3971x.htm
福特 福睿斯 2017款 1.5L 手动舒适型,严选车,5.47,原价5.64万,2017-05,1.35万公里,国五,1.5,0次过户,2021-5,2020-5,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/a34fc5099e02fa44x.htm
现代 全新胜达 2015款 2.0T 自动四驱智能型 5座,严选车,12.46,原价13.35万,2015-11,5.86万公里,国四,2.0,0次过户,2019-11,2019-12,已过期,2.0T 245马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/70c1a07513e4f3e0x.htm
标致3008 2014款 1.6THP 罗兰·加洛斯版,严选车,7.46,原价7.7万,2014-06,7.52万公里,国五,1.6,1次过户,2020-6,2019-6,2019-6,1.6T 163马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/184b2d0f2fd98d1bx.htm
大众 迈腾 2017款 330TSI DSG 尊贵型,严选车,16.48,原价16.91万,2016-09,5.11万公里,国五,1.8,0次过户,2020-9,2019-9,已过期,1.8T 180马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/ca081e4c42f44d37x.htm
奥迪A6L 2014款 TFSI 标准型,严选车,24.30,原价24.62万,2016-01,6.65万公里,国五,2.0,0次过户,2020-1,2019-12,已过期,2.0T 180马力 L4,8档无级变速箱(CVT),https://www.guazi.com/bj/e080d2d2cc856002x.htm
大众 帕萨特 2011款 1.8TSI DSG尊荣版,严选车,¥8.50,新车指导价23.80万(含税),2011-07,8.43万公里,国四,1.8,0次过户,2019-7,2019-7,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/bc566d42886d0f19x.htm
福特 福克斯 2012款 三厢 1.6L 手动风尚型,严选车,¥4.18,新车指导价14.40万(含税),2012-09,6.87万公里,国四,1.6,0次过户,2019-9,2019-9,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/0a98055a0c122003x.htm
现代 悦动 2011款 1.6L 手动舒适型,严选车,3.94,原价4.1万,2014-04,4.08万公里,国四,1.6,0次过户,2020-4,2020-3,已过期,1.6L 123马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/8be03e2253dd229ax.htm
吉利 博越 2016款 1.8TD 自动智慧型,严选车,9.02,原价9.33万,2017-07,1.54万公里,国五,1.8,0次过户,2019-7,2019-7,已过期,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/83b2a34903e685cbx.htm
大众 帕萨特 2013款 1.8TSI DSG至尊版,严选车,10.84,原价10.88万,2013-07,10.18万公里,国四,1.8,0次过户,2019-7,2019-7,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/ecd55e041b0e10f5x.htm
宝马5系 2013款 525Li 领先型,严选车,23.04,原价24.44万,2013-06,6.02万公里,国四,2.0,0次过户,2019-6,2019-7,已过期,2.0T 218马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/bj/e769fd1897c4f076x.htm
大众 朗行 2015款 230TSI DSG舒适版,严选车,8.41,原价8.72万,2016-04,7.21万公里,国五,1.4,0次过户,2020-4,2020-3,2020-4,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/1fe7b94da44e7e54x.htm
标致3008 2016款 2.0L 自动经典版,严选车,8.60,原价8.82万,2017-02,3.56万公里,国五,2.0,0次过户,2021-2,2020-2,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/tj/10f6561c3c1f396bx.htm
沃尔沃S60L 2015款 2.0T 智远版,严选车,¥15.54,新车指导价33.60万(含税),2015-01,2.8万公里,国五,2.0,0次过户,2021-1,2019-12,已过期,2.0T 180马力 L5,6档手自一体变速箱(AT),https://www.guazi.com/bj/1337acd522858cdfx.htm
