
车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
宝马5系 2014款 525Li 豪华设计套装,严选车,¥28.32,新车指导价54.20万(含税),2015-04,7.05万公里,国五,2.0,0次过户,2021-4,2020-4,已过期,2.0T 218马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/nn/8779c1bff6f1fd72x.htm
荣威350 2013款 350C 1.5L 手动迅捷版,严选车,3.00,原价3.28万,2013-12,7.43万公里,国四,1.5,0次过户,2019-12,2019-12,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/1bb2cbda881f4cd4x.htm
东南DX7 2015款 1.5T 自动豪华型,严选车,7.09,原价7.5万,2017-02,3.19万公里,国五,1.5,0次过户,2021-2,2020-1,已过期,1.5T 156马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/dg/cde7aeea06792ecdx.htm
东风风神AX7 2015款 2.0L 自动智逸型,严选车,¥6.20,新车指导价15.20万(含税),2015-08,4.26万公里,国五,2.0,0次过户,2019-8,2019-8,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/a5ee9b620e2064e2x.htm
标致301 2014款 1.6L 手动舒适版,严选车,3.44,原价3.65万,2015-08,4.71万公里,国五,1.6,1次过户,2019-8,2019-7,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhongshan/dbe3e0c065028797x.htm
日产 楼兰 2015款 2.5L XL 两驱智尚版,严选车,18.10,原价18.44万,2016-04,3.72万公里,国五,2.5,0次过户,2020-4,2020-3,已过期,2.5L 186马力 L4,7档无级变速箱(CVT),https://www.guazi.com/sz/334e8e8e54784e91x.htm
别克 凯越 2013款 1.5L 自动经典型,严选车,¥4.06,新车指导价11.10万(含税),2014-09,5.71万公里,国四,1.5,0次过户,2020-9,2019-9,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/41f2bc366bf88680x.htm
现代 悦动 2011款 1.6L 自动舒适型,严选车,4.81,原价5.15万,2014-02,5.04万公里,国四,1.6,0次过户,2020-2,2020-2,已过期,1.6L 123马力 L4,4档自动变速箱(AT),https://www.guazi.com/huizhou/0df116605607ffb1x.htm
宝马X1 2014款 xDrive20i 运动设计套装,严选车,¥19.59,新车指导价43.20万(含税),2015-04,2.67万公里,国五,2.0,0次过户,2021-4,2020-1,已过期,2.0T 184马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/sz/12dacec0430ce034x.htm
纳智捷 大7 MPV 2016款 2.0T 舒享型,严选车,7.78,原价8.07万,2016-06,7.82万公里,国五,2.0,1次过户,2020-6,2019-6,已过期,2.0T 188马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/9d6161176a231c33x.htm
大众POLO 2012款 1.6L Cross POLO AT,严选车,¥5.30,新车指导价13.70万(含税),2014-01,8.23万公里,国四,1.6,0次过户,2020-1,2019-12,2019-12,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/1ab704068cc553a1x.htm
标致408 2013款 2.0L 自动舒适版,严选车,4.41,原价4.48万,2014-04,12.38万公里,国四,2.0,0次过户,2020-4,2020-4,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/ac6319e5177cbc82x.htm
日产 逍客 2015款 2.0XL 酷火 MT 2WD,严选车,7.82,原价8.04万,2015-08,5.83万公里,国五,2.0,0次过户,2019-8,2019-8,已过期,2.0L 144马力 L4,6档手动变速箱(MT),https://www.guazi.com/nn/66de7a90c19adc01x.htm
现代 途胜 2015款 1.6T 双离合两驱智能型,严选车,10.50,原价10.88万,2016-09,4.32万公里,国五,1.6,0次过户,2020-9,2019-9,已过期,1.6T 177马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/foshan/be16890f3b30b176x.htm
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,严选车,¥5.95,新车指导价14.80万(含税),2015-09,7.76万公里,国五,1.5,1次过户,2019-9,2019-9,已过期,1.5T 150马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/599018200bd4d606x.htm
日产 轩逸 2014款 1.6XV CVT尊享版,严选车,¥7.22,新车指导价15.00万(含税),2014-11,7.03万公里,国四,1.6,1次过户,2020-11,2019-10,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/gz/c385b7d2be405834x.htm
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,严选车,¥6.43,新车指导价16.30万(含税),2014-11,4.81万公里,国五,1.4,0次过户,2020-11,2019-11,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/huizhou/5124962845e7ca6cx.htm
宝马1系 2013款 改款 116i 领先型(进口),严选车,¥10.62,新车指导价28.40万(含税),2014-04,9.79万公里,国四,1.6,0次过户,2020-4,2020-3,已过期,1.6T 136马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/gz/d33472ed2b2c4977x.htm
沃尔沃S60L 2016款 T4 智远版,严选车,14.87,原价15.23万,2016-05,7.34万公里,国五,2.0,0次过户,2020-5,2020-4,已过期,2.0T 190马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/d4f0ec762b3cbab7x.htm
奥迪A4L 2013款 35 TFSI 自动舒适型,严选车,15.64,原价16.35万,2014-07,7.49万公里,国四,2.0,0次过户,2020-7,2019-6,已过期,2.0T 180马力 L4,8档无级变速箱(CVT),https://www.guazi.com/gz/c2e1d5bc53943bf8x.htm
标致408 2015款 1.2T 自动豪华版,严选车,8.22,原价8.65万,2016-02,3万公里,国五,1.2,0次过户,2020-2,2020-1,已过期,1.2T 136马力 L3,6档手自一体变速箱(AT),https://www.guazi.com/dg/374b18eb05e7974ex.htm
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,严选车,¥9.54,新车指导价20.60万(含税),2015-01,7.01万公里,国五,1.5,0次过户,2021-1,2020-1,已过期,1.5T 181马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/a87ab3301f0e945fx.htm
现代 途胜 2013款 2.0L 手动两驱时尚型,严选车,¥5.23,新车指导价18.40万(含税),2013-07,4.97万公里,国四,2.0,0次过户,2019-7,2019-7,已过期,2.0L 141马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/213468152a240455x.htm
Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,严选车,5.41,原价5.56万,2015-03,3.19万公里,国四,1.0,0次过户,2021-3,2020-3,已过期,1.0L 70马力 L3,5档机械式自动变速箱(AMT),https://www.guazi.com/foshan/e46d3d4601c4213ex.htm
宝马5系 2013款 525Li 领先型,严选车,¥19.66,新车指导价49.90万(含税),2012-11,8.61万公里,国四,2.0,1次过户,2019-11,2019-11,已过期,2.0T 218马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/gz/b4bb36a4340b0f54x.htm
奥迪Q5 2013款 40 TFSI 技术型,严选车,21.23,原价23.87万,2014-06,2.69万公里,国四,2.0,0次过户,2020-6,2019-6,已过期,2.0T 211马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/gz/b3ad8c5392496530x.htm
别克 英朗 2012款 XT 1.6L 自动时尚版,严选车,¥5.72,新车指导价16.30万(含税),2013-12,4.93万公里,国四,1.6,0次过户,2019-12,2020-4,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/liuzhou/060e757a9472403dx.htm
日产 阳光 2015款 1.5XE CVT舒适版,严选车,5.13,原价5.41万,2016-01,3.49万公里,国五,1.5,0次过户,2020-1,2020-1,已过期,1.5L 112马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/dg/3c459c5ae587f1b1x.htm
海马S7 2015款 改款 1.8T 自动纵骋型,严选车,5.50,原价5.63万,2015-08,7.01万公里,国五,1.8,0次过户,2019-8,2019-8,已过期,1.8T 188马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/5126e9a5ab9c84b7x.htm
福特 福克斯 2012款 三厢 1.6L 手动风尚型,严选车,4.14,原价4.38万,2014-05,10.77万公里,国四,1.6,0次过户,2020-5,2020-5,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhuhai/4511f4d492f534b8x.htm
比亚迪S6 2013款 白金版 2.0L 手动豪华型,严选车,3.07,原价3.35万,2014-01,1.86万公里,国四,2.0,0次过户,2020-1,2020-1,已过期,2.0L 140马力 L4,5档手动变速箱(MT),https://www.guazi.com/gz/650e9beeb253b0e1x.htm
奥迪Q5 2015款 40 TFSI 进取型,严选车,¥22.00,新车指导价42.10万(含税),2015-11,5.49万公里,国五,2.0,0次过户,2019-11,2019-10,2019-11,2.0T 224马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/gz/7e3ef465a9782e77x.htm
比亚迪S6 2014款 2.0L 手动豪华型 5座,严选车,¥3.49,新车指导价8.70万(含税),2014-04,6.65万公里,国四,2.0,0次过户,2020-4,2020-5,已过期,2.0L 140马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/185926a1ffb2f3c8x.htm
北汽绅宝 绅宝X65 2015款 2.0T 手动精英型,严选车,4.59,原价4.77万,2016-01,3.18万公里,国五,2.0,0次过户,2020-1,2019-11,已过期,2.0T 177马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/b60498315b81572cx.htm
启辰R50 2014款 1.6L 手动精彩版,严选车,3.30,原价3.48万,2015-02,5.24万公里,国五,1.6,2次过户,2021-2,2019-9,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/69f4928ca97d4b88x.htm
福特 嘉年华 2011款 两厢 1.5L 自动时尚型,严选车,3.31,原价3.59万,2012-07,5.11万公里,国四,1.5,1次过户,2019-7,2019-7,已过期,1.5L 103马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/nn/e6437fb3a8aa7358x.htm
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,严选车,9.45,原价10.31万,2014-07,4.41万公里,国四,1.5,0次过户,2020-7,2019-7,已过期,1.5T 181马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/ebdd9e1defb5ad2fx.htm
长安 逸动 2016款 1.6L 自动风尚型,严选车,5.38,原价5.74万,2017-04,1.63万公里,国五,1.6,0次过户,2021-4,2020-4,已过期,1.6L 125马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/zhongshan/52b989b0bfd4b234x.htm
日产 骐达 2011款 1.6L CVT豪华型,严选车,5.29,原价5.38万,2012-07,8.15万公里,国四,1.6,2次过户,2019-7,2019-7,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/liuzhou/909ab36e698587b0x.htm
日产 楼兰 2015款 2.5L XL 两驱智尚版,严选车,¥15.75,新车指导价29.20万(含税),2016-04,9.7万公里,国五,2.5,0次过户,2020-4,2020-3,已过期,2.5L 186马力 L4,7档无级变速箱(CVT),https://www.guazi.com/gz/5d297f61ed7f39b8x.htm
别克 君威 2012款 2.0L 舒适版,严选车,6.84,原价7.4万,2012-07,3.82万公里,国四,2.0,0次过户,2019-7,2019-6,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/fa6278160651df48x.htm
大众 高尔夫 2014款 1.6L 自动舒适型,严选车,7.76,原价8.11万,2015-06,4.79万公里,国五,1.6,1次过户,2019-6,2019-6,2019-6,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/544444e7fcc3a38bx.htm
海马M3 2014款 1.5L 手动标准型,严选车,2.53,原价2.69万,2014-01,7.23万公里,国四,1.5,0次过户,2020-1,2020-1,2020-1,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/foshan/5a8b9c4c97a7534ex.htm
现代 悦动 2011款 1.6L 手动舒适型,严选车,4.02,原价4.39万,2015-09,6.34万公里,国四,1.6,0次过户,2019-9,2019-9,已过期,1.6L 123马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/2443366e57c6267cx.htm
宝马X1 2014款 xDrive20i X设计套装,严选车,¥17.55,新车指导价43.20万(含税),2015-11,7.1万公里,国五,2.0,0次过户,2019-11,2019-10,已过期,2.0T 184马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/sz/7632ce4e7859bfafx.htm
现代 索纳塔九 2015款 1.6T GLX领先型,严选车,10.74,原价11.44万,2016-06,3.53万公里,国五,1.6,1次过户,2020-6,2019-6,已过期,1.6T 180马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/gz/564bfb6a7755c502x.htm
日产 轩逸 2016款 经典 1.6XE 手动领先版,严选车,5.83,原价5.96万,2016-10,4.32万公里,国五,1.6,0次过户,2020-10,2019-9,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/gz/8770938c2eb808bax.htm
哈弗H6 2016款 升级版 1.5T 手动两驱精英型,严选车,¥5.44,新车指导价11.10万(含税),2016-03,3.77万公里,国五,1.5,0次过户,2020-3,2020-1,已过期,1.5T 150马力 L4,6档手动变速箱(MT),https://www.guazi.com/dg/3743c480dbffe296x.htm
吉利 远景 2015款 1.5L 手动精英型,严选车,¥2.97,新车指导价6.30万(含税),2015-11,6.35万公里,国五,1.5,0次过户,2019-11,2019-11,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/huizhou/097b5641928b0cc4x.htm
别克 昂科威 2016款 28T 四驱精英型,严选车,13.86,原价14.52万,2015-11,6.91万公里,国五,2.0,0次过户,2019-11,2019-11,已过期,2.0T 260马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/ba9968dba1d2a797x.htm
大众POLO 2013款 1.6L 自动舒适版,严选车,4.13,原价4.39万,2013-02,9.82万公里,国四,1.6,1次过户,2020-2,2020-2,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/0e31d194dda5f9bcx.htm
吉利 博越 2016款 1.8TD 自动智慧型,严选车,8.37,原价8.96万,2017-11,1.58万公里,国五,1.8,0次过户,2019-11,2019-10,已过期,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/01ce74f0adc1d804x.htm
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,严选车,¥23.88,新车指导价32.00万(含税),2016-10,2.87万公里,国五,2.0,0次过户,2020-10,2019-9,已过期,2.0T 220马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/18373012258dc57cx.htm
大众 帕萨特 2013款 1.8TSI DSG御尊版,严选车,¥10.63,新车指导价26.00万(含税),2013-03,11.09万公里,国四,1.8,0次过户,2020-3,2020-3,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/9ec18a00bb98df3cx.htm
中华V3 2015款 1.5L 自动智能型,严选车,¥4.99,新车指导价9.60万(含税),2015-12,2.4万公里,国五,1.5,0次过户,2019-12,2019-11,已过期,1.5L 112马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/nn/ddcd62b639d0ff03x.htm
雪佛兰 迈锐宝 2012款 2.0L 自动豪华版,严选车,6.81,原价7.06万,2012-09,10.03万公里,国四,2.0,0次过户,2019-9,2019-9,2019-9,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/huizhou/1626f1c773cc8e8ax.htm
奥迪A4L 2012款 2.0 TFSI 自动舒适型,严选车,13.10,原价13.44万,2012-03,5.8万公里,国四,2.0,0次过户,2020-3,2020-3,已过期,2.0T 180马力 L4,8档无级变速箱(CVT),https://www.guazi.com/gz/111d436ef31e04bfx.htm
马自达5 2013款 2.0L 自动舒适型(进口),严选车,8.91,原价9.12万,2014-06,4.65万公里,国四,2.0,0次过户,2020-6,2019-6,2019-6,2.0L 144马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/gz/c1e015d400c84e7cx.htm
福特 福克斯 2012款 两厢 1.6L 自动风尚型,严选车,6.13,原价6.27万,2015-08,8.47万公里,国五,1.6,0次过户,2019-8,2019-7,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/dg/7539a3a486c146a7x.htm
日产 轩逸 2014款 1.6XV CVT尊享版,严选车,¥7.61,新车指导价15.00万(含税),2015-09,2.15万公里,国五,1.6,0次过户,2019-9,2019-10,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/zhuhai/ac43d2b714f5bb66x.htm
雪铁龙 爱丽舍 2014款 1.6L 手动时尚型,严选车,3.33,原价3.46万,2015-10,5.96万公里,国四,1.6,1次过户,2019-10,2019-9,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/liuzhou/b82ee551b9399001x.htm
别克 君威 2012款 2.0L 舒适版,严选车,7.00,原价7.24万,2013-09,9.02万公里,国四,2.0,0次过户,2019-9,2019-9,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/791d78d04273080ex.htm
宝马1系 2013款 改款 118i 领先型(进口),严选车,12.50,原价12.86万,2013-10,3.13万公里,国四,1.6,0次过户,2019-10,2019-9,2019-9,1.6T 170马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/sz/bf8c7f199879dfdex.htm
别克 君威 2009款 2.4L 精英版,严选车,5.07,原价5.5万,2010-10,12.14万公里,国四,2.4,0次过户,2019-10,2019-10,已过期,2.4L 170马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/eae1f28b9155bb67x.htm
大众 途观 2013款 1.8TSI 自动两驱舒适版,严选车,¥11.22,新车指导价25.80万(含税),2014-06,11.3万公里,国五,1.8,0次过户,2020-6,2019-6,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/20bf68aba35b06a2x.htm
MINI Countryman 2014款 1.6T COOPER ALL4 Excitement,严选车,¥15.40,新车指导价36.50万(含税),2014-10,3.68万公里,国五,1.6,0次过户,2020-10,2019-9,已过期,1.6T 122马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/093d1f9c99d07e29x.htm
标致3008 2015款 2.0L 手动经典版,严选车,¥7.25,新车指导价17.30万(含税),2016-01,3.75万公里,国五,2.0,0次过户,2020-1,2020-1,已过期,2.0L 147马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/43932d91e3a6cb5ax.htm
哈弗H6 2014款 运动版 2.4L 自动精英型,严选车,¥6.14,新车指导价14.80万(含税),2015-05,4.89万公里,国四,2.4,0次过户,2021-5,2020-5,已过期,2.4L 163马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/sz/4711f9e6f48031d6x.htm
日产 天籁 2013款 2.0L XL舒适版,严选车,¥12.08,新车指导价20.20万(含税),2016-06,4.08万公里,国五,2.0,0次过户,2020-6,2019-6,已过期,2.0L 141马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/gz/696d4ccdd41ca2d6x.htm
传祺GS5 Super 2015款 2.0L 自动两驱精英版,严选车,6.32,原价6.5万,2015-07,3.48万公里,国五,2.0,0次过户,2019-7,2019-7,已过期,2.0L 147马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/foshan/b5917f2831b4f261x.htm
宝马X1 2015款 sDrive18i 领先晋级版,严选车,16.42,原价16.77万,2016-01,3.14万公里,国五,2.0,0次过户,2020-1,2020-1,2020-1,2.0T 156马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/foshan/db85ed65f8e18f23x.htm
日产 阳光 2014款 1.5XL CVT豪华版,严选车,¥5.41,新车指导价11.20万(含税),2014-07,4.99万公里,国四,1.5,0次过户,2020-7,2019-7,已过期,1.5L 112马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/gz/44b1a35672145e9dx.htm
别克 君越 2013款 2.4L SIDI豪华舒适型,严选车,11.05,原价11.5万,2013-12,10.21万公里,国四,2.4,1次过户,2019-12,2019-12,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/d1d79ff2bac5b6d0x.htm
大众 迈腾 2013款 1.8TSI 豪华型,严选车,¥11.37,新车指导价25.30万(含税),2013-10,6.64万公里,国四,1.8,0次过户,2019-10,2019-10,2019-10,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sz/8aad5372659913c5x.htm
起亚 智跑 2015款 2.0L 自动两驱版GLS,严选车,8.98,原价9.8万,2016-02,7.48万公里,国四,2.0,0次过户,2020-2,2020-3,已过期,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/7e15b848b0a7c364x.htm
本田 思域 2012款 1.8L 自动舒适版,严选车,¥6.14,新车指导价15.20万(含税),2012-02,11.49万公里,国四,1.8,0次过户,2020-2,2020-2,已过期,1.8L 141马力 L4,5档自动变速箱(AT),https://www.guazi.com/foshan/bb99d52c8e5c276ax.htm
丰田 凯美瑞 2012款 2.5G 豪华版,严选车,¥11.57,新车指导价23.90万(含税),2012-11,8.06万公里,国四,2.5,0次过户,2019-11,2019-11,已过期,2.5L 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/67adcb766e253924x.htm
宝骏630 2014款 1.5L 手动舒适型,严选车,¥2.79,新车指导价7.70万(含税),2014-08,3.05万公里,国四,1.5,0次过户,2020-8,2019-8,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/liuzhou/d87b016a219bc0cax.htm
雪佛兰 2015款 赛欧3 1.3L 手动理想版,严选车,3.45,原价3.61万,2016-07,3.96万公里,国五,1.3,0次过户,2020-7,2019-6,已过期,1.3L 103马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/eb5edb78bb860a56x.htm
本田 凌派 2013款 1.8L 自动舒适版,严选车,7.27,原价7.45万,2015-01,4.11万公里,国四,1.8,0次过户,2021-1,2019-12,已过期,1.8L 139马力 L4,5档自动变速箱(AT),https://www.guazi.com/dg/6052b9467c05ecacx.htm
沃尔沃XC60 2014款 改款 T5 智雅版(进口),严选车,¥19.49,新车指导价52.00万(含税),2014-09,5.2万公里,国四,2.0,0次过户,2020-9,2019-8,已过期,2.0T 245马力 L4,8档自动变速箱(AT),https://www.guazi.com/gz/a068c4e5e06fe76ax.htm
吉利GX7 2013款 1.8L 手动精英型,严选车,2.65,原价2.75万,2013-01,7.65万公里,国四,1.8,0次过户,2020-1,2020-1,已过期,1.8L 139马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/34aaf4cd3ed15e80x.htm
江淮 瑞风S3 2014款 1.5L 手动豪华型,严选车,2.98,原价3.17万,2015-01,9.83万公里,国四,1.5,1次过户,2021-1,2020-1,已过期,1.5L 113马力 L4,6档手动变速箱(MT),https://www.guazi.com/dg/e2e2aad69159b1d0x.htm
东南DX7 2015款 1.5T 自动尊贵型,严选车,¥7.24,新车指导价15.20万(含税),2016-03,6.21万公里,国五,1.5,1次过户,2020-3,2020-3,已过期,1.5T 156马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/zhuhai/860597c9a913a8b2x.htm
东风风行 景逸X5 2016款 1.6L 手动尊享型,严选车,3.96,原价4.13万,2016-06,6.08万公里,国五,1.6,1次过户,2020-6,2019-6,已过期,1.6L 122马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/31a6377bc26203a2x.htm
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,严选车,¥7.36,新车指导价16.30万(含税),2015-12,2.29万公里,国五,1.4,0次过户,2019-12,2019-12,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/2f11dd5c615cd613x.htm
奥迪Q3 2015款 35 TFSI 进取型,严选车,¥15.60,新车指导价31.50万(含税),2015-08,8.8万公里,国五,2.0,0次过户,2019-8,2020-6,已过期,2.0T 170马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/gz/a4acf628c4eabcf5x.htm
哈弗H5 2012款 欧风版 2.0L 两驱豪华型,严选车,2.97,原价3.06万,2013-01,5.48万公里,国四,2.0,0次过户,2020-1,2020-1,2020-1,2.0L 122马力 L4,5档手动变速箱(MT),https://www.guazi.com/foshan/d10866e22e3c11a4x.htm
奇瑞 风云2 2015款 1.5L 手动新锐版,严选车,2.49,原价2.63万,2015-12,4.19万公里,国五,1.5,0次过户,2019-12,2019-12,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/huizhou/c2effaadf4628590x.htm
福特 福睿斯 2015款 1.5L 手动舒适型,严选车,4.51,原价4.74万,2016-03,5.35万公里,国五,1.5,0次过户,2020-3,2020-2,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhuhai/967c3051dcae56ddx.htm
雪佛兰 科鲁兹 2013款 1.6L SE MT,严选车,¥4.41,新车指导价13.00万(含税),2014-08,6.95万公里,国四,1.6,0次过户,2020-8,2019-8,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/40cb03fda47c3e1bx.htm
奥迪A4L 2011款 2.0 TFSI 标准型,严选车,¥10.20,新车指导价33.60万(含税),2011-06,14.97万公里,国四,2.0,0次过户,2019-6,2019-6,已过期,2.0T 180马力 L4,8档无级变速箱(CVT),https://www.guazi.com/gz/83d6ffa0206fae1cx.htm
日产 天籁 2013款 2.0L XL舒适版,严选车,¥10.81,新车指导价20.20万(含税),2015-09,12.73万公里,国五,2.0,0次过户,2019-9,2019-8,已过期,2.0L 141马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/gz/4faefe358c2d8055x.htm
福特 福克斯 2012款 两厢 1.6L 自动风尚型,严选车,¥4.95,新车指导价15.60万(含税),2013-06,6.96万公里,国四,1.6,0次过户,2019-6,2019-6,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/sz/47051ea0a8c0792cx.htm
宝马3系 2016款 320Li 进取型,严选车,20.66,原价21.12万,2016-05,3万公里,国五,2.0,0次过户,2020-5,2020-4,已过期,2.0T 184马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/huizhou/b436e115e7b543c3x.htm
奥迪Q5 2011款 2.0TFSI 舒适型,严选车,16.10,原价16.67万,2012-12,13.6万公里,国四,2.0,0次过户,2019-12,2019-12,已过期,2.0T 211马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/sz/9c190f15b3672d3ex.htm
现代ix35 2015款 2.0L 自动两驱舒适型 国V,降价急售,¥9.88,新车指导价17.80万(含税),2016-08,3.02万公里,国五,2.0,0次过户,2020-8,2019-7,已过期,2.0L 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cs/c21ad0095713ddd7x.htm
本田 缤智 2015款 1.8L CVT两驱豪华型,严选车,¥10.91,新车指导价17.80万(含税),2015-07,3.13万公里,国五,1.8,0次过户,2019-7,2019-6,已过期,1.8L 136马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/gz/5cb8d495fc878210x.htm
丰田 YARiS L 致炫 2015款 1.5E 自动魅动版,严选车,5.40,原价5.62万,2016-04,7.39万公里,国五,1.5,0次过户,2020-4,2020-4,已过期,1.5L 107马力 L4,4档自动变速箱(AT),https://www.guazi.com/nn/74e57e64cb9ca66bx.htm
本田 歌诗图 2012款 2.4L 豪华版,严选车,9.67,原价10.19万,2012-09,11.84万公里,国四,2.4,1次过户,2019-9,2019-9,已过期,2.4L 197马力 L4,5档自动变速箱(AT),https://www.guazi.com/dg/98db9ac5cbd95c9ex.htm
大众 桑塔纳 2015款 浩纳 1.6L 自动风尚型,严选车,5.52,原价5.98万,2016-08,8.54万公里,国五,1.6,1次过户,2020-8,2019-8,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/nn/da66e8b84a38ee87x.htm
福特 嘉年华 2011款 两厢 1.5L 自动时尚型,严选车,3.31,原价3.52万,2012-08,9.26万公里,国四,1.5,0次过户,2019-8,2019-8,已过期,1.5L 103马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/nn/9facf6d623a45387x.htm
